origin,destination,year,value
4,348,2005,2376
4,356,2005,9700
4,360,2005,13
4,364,2005,920248
4,372,2005,77
4,380,2005,302
4,384,2005,7
4,392,2005,56
4,398,2005,760
4,410,2005,2
4,414,2005,78
4,417,2005,251
4,422,2005,13
4,428,2005,1
4,440,2005,96
4,458,2005,51
4,470,2005,8
4,498,2005,8
4,508,2005,1
4,528,2005,25086
4,554,2005,1261
4,578,2005,4052
4,586,2005,1084208
4,616,2005,87
4,620,2005,5
4,634,2005,40
4,642,2005,280
4,643,2005,1294
4,703,2005,124
4,705,2005,1
4,710,2005,18
4,724,2005,87
4,752,2005,4264
4,756,2005,1595
4,760,2005,229
4,762,2005,1006
4,764,2005,3
4,792,2005,76
4,795,2005,749
4,804,2005,1213
4,807,2005,1
4,818,2005,31
4,826,2005,22532
4,840,2005,8831
4,860,2005,4740
4,31,2006,104
4,36,2006,7908
4,40,2006,3664
4,50,2006,1
4,56,2006,226
4,76,2006,3
4,100,2006,1967
4,112,2006,491
4,116,2006,2
4,124,2006,14419
4,144,2006,4
4,152,2006,17
4,156,2006,7
4,192,2006,1
4,196,2006,3
4,203,2006,237
4,208,2006,6306
4,218,2006,32
4,231,2006,1
4,233,2006,2
4,246,2006,1883
4,250,2006,1238
4,265,2006,4
4,276,2006,21879
4,300,2006,171
4,348,2006,2357
4,352,2006,1
4,356,2006,9472
4,360,2006,65
4,364,2006,914260
4,372,2006,99
4,380,2006,473
4,384,2006,14
4,392,2006,55
4,398,2006,588
4,410,2006,2
4,417,2006,256
4,422,2006,6
4,428,2006,1
4,440,2006,96
4,458,2006,55
4,470,2006,8
4,498,2006,12
4,508,2006,1
4,528,2006,21357
4,554,2006,961
4,578,2006,4084
4,586,2006,1043984
4,616,2006,79
4,620,2006,5
4,634,2006,40
4,642,2006,272
4,643,2006,1202
4,703,2006,93
4,705,2006,1
4,710,2006,18
4,724,2006,74
4,752,2006,4278
4,756,2006,1726
4,760,2006,299
4,762,2006,917
4,764,2006,2
4,784,2006,4
4,792,2006,75
4,795,2006,710
4,804,2006,1189
4,807,2006,1
4,818,2006,31
4,826,2006,23069
4,840,2006,13242
4,860,2006,1415
4,31,2007,108
4,36,2007,4990
4,40,2007,4191
4,56,2007,151
4,76,2007,3
4,100,2007,1990
4,112,2007,454
4,116,2007,2
4,124,2007,3470
4,144,2007,3
4,152,2007,17
4,156,2007,7
4,188,2007,2
4,196,2007,5
4,203,2007,242
4,208,2007,5378
4,218,2007,74
4,231,2007,1
4,233,2007,6
4,246,2007,517
4,250,2007,1273
4,265,2007,4
4,276,2007,24236
4,300,2007,174
4,348,2007,2293
4,352,2007,1
4,356,2007,9011
4,360,2007,49
4,364,2007,906071
4,372,2007,106
4,380,2007,1138
4,384,2007,14
4,392,2007,56
4,398,2007,404
4,410,2007,2
4,414,2007,5
4,417,2007,277
4,422,2007,9
4,428,2007,1
4,440,2007,97
4,458,2007,68
4,470,2007,8
4,484,2007,1
4,498,2007,12
4,508,2007,1
4,528,2007,17296
4,554,2007,162
4,578,2007,2925
4,586,2007,2034416
4,616,2007,76
4,620,2007,6
4,634,2007,40
4,642,2007,274
4,643,2007,1315
4,703,2007,87
4,705,2007,2
4,710,2007,18
4,724,2007,69
4,752,2007,2611
4,756,2007,1609
4,760,2007,226
4,762,2007,1126
4,764,2007,3
4,784,2007,4
4,792,2007,212
4,795,2007,85
4,804,2007,1171
4,807,2007,1
4,818,2007,28
4,826,2007,23565
4,840,2007,2365
4,860,2007,1047
4,31,2008,125
4,36,2008,4933
4,40,2008,5387
4,56,2008,196
4,76,2008,3
4,100,2008,2012
4,112,2008,436
4,116,2008,1
4,124,2008,3147
4,144,2008,3
4,152,2008,16
4,188,2008,2
4,191,2008,1
4,196,2008,6
4,203,2008,226
4,208,2008,5214
4,218,2008,79
4,231,2008,1
4,233,2008,6
4,246,2008,578
4,250,2008,1345
4,265,2008,4
4,276,2008,25108
4,300,2008,178
4,348,2008,2110
4,352,2008,1
4,356,2008,8441
4,360,2008,29
4,364,2008,935595
4,372,2008,127
4,380,2008,2315
4,384,2008,16
4,392,2008,56
4,398,2008,493
4,400,2008,1
4,410,2008,2
4,417,2008,267
4,422,2008,8
4,428,2008,1
4,440,2008,97
4,458,2008,62
4,470,2008,8
4,484,2008,1
4,498,2008,10
4,508,2008,1
4,528,2008,13477
4,554,2008,167
4,578,2008,3418
4,586,2008,1780150
4,616,2008,68
4,620,2008,8
4,642,2008,230
4,643,2008,2365
4,703,2008,76
4,705,2008,2
4,710,2008,18
4,724,2008,69
4,752,2008,2946
4,756,2008,1610
4,760,2008,517
4,762,2008,1790
4,764,2008,2
4,792,2008,347
4,795,2008,46
4,804,2008,1156
4,818,2008,28
4,826,2008,23079
4,840,2008,2102
4,860,2008,809
4,31,2009,149
4,36,2009,5664
4,40,2009,6401
4,56,2009,271
4,76,2009,12
4,100,2009,2039
4,112,2009,408
4,124,2009,3015
4,156,2009,7
4,188,2009,2
4,191,2009,3
4,196,2009,7
4,203,2009,222
4,208,2009,5026
4,218,2009,105
4,231,2009,1
4,233,2009,6
4,246,2009,656
4,250,2009,1567
4,276,2009,30320
4,300,2009,148
4,344,2009,1
4,348,2009,1907
4,352,2009,4
4,356,2009,8528
4,360,2009,220
4,364,2009,1022494
4,368,2009,2
4,372,2009,149
4,380,2009,3039
4,384,2009,17
4,392,2009,57
4,398,2009,429
4,400,2009,5
4,410,2009,2
4,417,2009,323
4,422,2009,8
4,428,2009,3
4,434,2009,1
4,440,2009,100
4,458,2009,248
4,470,2009,8
4,484,2009,1
4,498,2009,9
4,508,2009,1
4,524,2009,2
4,528,2009,9383
4,554,2009,169
4,578,2009,4415
4,586,2009,1739935
4,598,2009,2
4,616,2009,67
4,620,2009,7
4,642,2009,102
4,643,2009,2079
4,703,2009,101
4,705,2009,5
4,710,2009,18
4,724,2009,70
4,752,2009,3637
4,756,2009,1683
4,760,2009,963
4,762,2009,2673
4,764,2009,1
4,784,2009,3
4,792,2009,1040
4,795,2009,29
4,804,2009,1239
4,826,2009,23658
4,840,2009,1711
4,860,2009,546
4,31,2010,718
4,36,2010,5518
4,40,2010,7359
4,56,2010,501
4,76,2010,22
4,100,2010,2048
4,112,2010,417
4,124,2010,2727
4,148,2010,1
4,152,2010,12
4,156,2010,7
4,188,2010,2
4,191,2010,5
4,196,2010,7
4,203,2010,224
4,208,2010,4467
4,218,2010,114
4,231,2010,1
4,233,2010,12
4,246,2010,807
4,250,2010,1790
4,265,2010,3
4,276,2010,30404
4,300,2010,96
4,344,2010,6
4,348,2010,1767
4,352,2010,6
4,356,2010,9094
4,360,2010,259
4,364,2010,1027577
4,368,2010,2
4,372,2010,157
4,380,2010,3665
4,392,2010,54
4,398,2010,593
4,400,2010,15
4,410,2010,7
4,417,2010,415
4,422,2010,9
4,428,2010,19
4,440,2010,108
4,458,2010,430
4,470,2010,8
4,484,2010,2
4,498,2010,13
4,504,2010,8
4,508,2010,1
4,524,2010,2
4,528,2010,6731
4,554,2010,172
4,578,2010,5396
4,586,2010,1899842
4,591,2010,1
4,598,2010,1
4,616,2010,76
4,620,2010,6
4,642,2010,75
4,643,2010,1953
4,703,2010,135
4,705,2010,6
4,710,2010,18
4,724,2010,59
4,752,2010,4150
4,756,2010,1929
4,760,2010,1611
4,762,2010,3126
4,764,2010,1
4,784,2010,4
4,792,2010,1491
4,795,2010,30
4,804,2010,1339
4,826,2010,23406
4,840,2010,1364
4,860,2010,304
4,862,2010,4
4,31,2011,706
4,32,2011,1
4,36,2011,4826
4,40,2011,8636
4,56,2011,785
4,76,2011,24
4,100,2011,2067
4,112,2011,424
4,124,2011,2659
4,136,2011,2
4,148,2011,1
4,152,2011,12
4,156,2011,7
4,188,2011,2
4,191,2011,16
4,196,2011,7
4,203,2011,224
4,208,2011,3108
4,218,2011,114
4,231,2011,1
4,233,2011,13
4,242,2011,3
4,246,2011,948
4,250,2011,2120
4,276,2011,30425
4,300,2011,208
4,344,2011,7
4,348,2011,1697
4,352,2011,6
4,356,2011,9161
4,360,2011,476
4,364,2011,840451
4,368,2011,2
4,372,2011,170
4,380,2011,4291
4,384,2011,18
4,392,2011,40
4,398,2011,556
4,400,2011,15
4,404,2011,2
4,410,2011,9
4,417,2011,418
4,422,2011,5
4,428,2011,26
4,440,2011,114
4,458,2011,341
4,484,2011,3
4,498,2011,21
4,504,2011,8
4,508,2011,1
4,524,2011,2
4,528,2011,5697
4,554,2011,44
4,578,2011,5733
4,586,2011,1701945
4,591,2011,1
4,598,2011,1
4,608,2011,1
4,616,2011,68
4,620,2011,4
4,642,2011,91
4,643,2011,1687
4,703,2011,175
4,705,2011,8
4,710,2011,18
4,724,2011,62
4,752,2011,6620
4,756,2011,2127
4,760,2011,1791
4,762,2011,3270
4,764,2011,1
4,784,2011,1
4,792,2011,2682
4,795,2011,31
4,804,2011,1457
4,826,2011,14424
4,840,2011,1103
4,860,2011,211
4,862,2011,4
4,12,2012,2
4,31,2012,576
4,32,2012,1
4,36,2012,7192
4,40,2012,10158
4,56,2012,1267
4,76,2012,28
4,100,2012,368
4,112,2012,409
4,124,2012,2609
4,136,2012,1
4,144,2012,5
4,148,2012,1
4,152,2012,12
4,156,2012,7
4,170,2012,2
4,188,2012,2
4,191,2012,19
4,196,2012,7
4,203,2012,241
4,208,2012,2515
4,218,2012,113
4,231,2012,1
4,233,2012,14
4,242,2012,1
4,246,2012,1137
4,250,2012,2590
4,265,2012,3
4,276,2012,31746
4,300,2012,343
4,344,2012,7
4,348,2012,1131
4,352,2012,6
4,356,2012,9633
4,360,2012,890
4,364,2012,824087
4,368,2012,2
4,372,2012,181
4,380,2012,5058
4,384,2012,13
4,392,2012,34
4,398,2012,525
4,400,2012,12
4,404,2012,2
4,410,2012,10
4,417,2012,377
4,422,2012,12
4,428,2012,28
4,440,2012,136
4,458,2012,349
4,484,2012,2
4,498,2012,14
4,508,2012,1
4,524,2012,2
4,528,2012,6126
4,554,2012,29
4,578,2012,5984
4,586,2012,1637740
4,591,2012,1
4,598,2012,1
4,608,2012,4
4,616,2012,72
4,620,2012,6
4,642,2012,125
4,643,2012,1300
4,703,2012,209
4,705,2012,18
4,710,2012,20
4,724,2012,92
4,752,2012,8454
4,756,2012,2099
4,760,2012,1737
4,762,2012,2196
4,784,2012,1
4,792,2012,3517
4,795,2012,19
4,804,2012,1480
4,818,2012,1
4,826,2012,9845
4,840,2012,1017
4,860,2012,173
4,862,2012,4
4,12,2013,2
4,31,2013,603
4,32,2013,1
4,36,2013,8368
4,40,2013,11906
4,56,2013,4328
4,76,2013,41
4,100,2013,268
4,112,2013,405
4,124,2013,2700
4,136,2013,2
4,148,2013,1
4,152,2013,14
4,156,2013,7
4,170,2013,2
4,188,2013,2
4,191,2013,20
4,196,2013,7
4,203,2013,238
4,208,2013,2139
4,218,2013,112
4,231,2013,1
4,233,2013,15
4,246,2013,1357
4,250,2013,3213
4,265,2013,3
4,276,2013,24203
4,300,2013,632
4,344,2013,3
4,348,2013,749
4,352,2013,6
4,356,2013,10328
4,360,2013,1128
4,364,2013,814015
4,368,2013,5
4,372,2013,129
4,380,2013,6657
4,384,2013,1
4,392,2013,34
4,398,2013,537
4,400,2013,7
4,404,2013,5
4,410,2013,10
4,417,2013,405
4,422,2013,16
4,428,2013,28
4,440,2013,154
4,442,2013,27
4,458,2013,187
4,484,2013,2
4,496,2013,1
4,498,2013,10
4,504,2013,1
4,508,2013,1
4,524,2013,2
4,528,2013,6269
4,554,2013,32
4,566,2013,5
4,578,2013,5523
4,586,2013,1615876
4,591,2013,1
4,598,2013,1
4,608,2013,5
4,616,2013,88
4,620,2013,9
4,642,2013,106
4,643,2013,1117
4,703,2013,225
4,705,2013,22
4,710,2013,20
4,724,2013,114
4,752,2013,10499
4,756,2013,2578
4,760,2013,1141
4,762,2013,2004
4,764,2013,8
4,792,2013,3926
4,795,2013,19
4,804,2013,1494
4,807,2013,1
4,818,2013,1
4,826,2013,9166
4,840,2013,1071
4,860,2013,138
4,862,2013,4
4,894,2013,1
4,31,2014,618
4,32,2014,5
4,36,2014,7675
4,40,2014,11906
4,56,2014,5038
4,76,2014,52
4,100,2014,212
4,112,2014,399
4,124,2014,2704
4,144,2014,34
4,152,2014,14
4,156,2014,7
4,191,2014,21
4,192,2014,5
4,196,2014,7
4,203,2014,228
4,208,2014,2130
4,218,2014,112
4,233,2014,15
4,242,2014,7
4,246,2014,1443
4,250,2014,3838
4,276,2014,27814
4,300,2014,1451
4,348,2014,819
4,352,2014,11
4,356,2014,10395
4,360,2014,1681
4,364,2014,950000
4,368,2014,5
4,372,2014,158
4,380,2014,8991
4,392,2014,34
4,398,2014,578
4,400,2014,8
4,410,2014,16
4,417,2014,386
4,422,2014,19
4,428,2014,28
4,440,2014,186
4,442,2014,35
4,458,2014,184
4,498,2014,18
4,520,2014,29
4,524,2014,16
4,528,2014,6244
4,554,2014,36
4,566,2014,5
4,578,2014,5454
4,586,2014,1504912
4,598,2014,27
4,608,2014,5
4,616,2014,93
4,620,2014,10
4,642,2014,120
4,643,2014,1104
4,646,2014,6
4,703,2014,278
4,705,2014,23
4,710,2014,10
4,724,2014,144
4,752,2014,12090
4,756,2014,4119
4,760,2014,1214
4,762,2014,1975
4,764,2014,8
4,792,2014,4188
4,795,2014,19
4,804,2014,1544
4,826,2014,9039
4,840,2014,1210
4,860,2014,123
8,32,2003,10
8,36,2003,40
8,40,2003,149
8,56,2003,195
8,100,2003,5
8,124,2003,1226
8,203,2003,15
8,208,2003,11
8,246,2003,12
8,250,2003,835
8,276,2003,1929
8,300,2003,14
8,348,2003,9
8,352,2003,9
8,372,2003,70
8,380,2003,273
8,484,2003,4
8,528,2003,167
8,554,2003,2
8,578,2003,31
8,591,2003,4
8,616,2003,1
8,620,2003,1
8,642,2003,8
8,724,2003,43
8,752,2003,116
8,756,2003,124
8,826,2003,1130
8,840,2003,3952
8,32,2004,13
8,36,2004,22
8,40,2004,155
8,56,2004,203
8,100,2004,14
8,124,2004,1273
8,203,2004,14
8,208,2004,36
8,246,2004,18
8,250,2004,958
8,276,2004,1604
8,300,2004,5
8,352,2004,9
8,372,2004,114
8,380,2004,282
8,484,2004,4
8,528,2004,147
8,554,2004,2
8,578,2004,39
8,616,2004,1
8,620,2004,1
8,642,2004,8
8,688,2004,1
8,724,2004,40
8,752,2004,122
8,756,2004,114
8,826,2004,1275
8,840,2004,4004
8,32,2005,17
8,36,2005,13
8,40,2005,158
8,56,2005,201
8,76,2005,1
8,100,2005,10
8,124,2005,1403
8,203,2005,14
8,208,2005,36
8,246,2005,18
8,250,2005,1123
8,276,2005,3036
8,300,2005,7
8,348,2005,5
8,352,2005,9
8,372,2005,141
8,380,2005,282
8,484,2005,4
8,528,2005,144
8,554,2005,2
8,578,2005,46
8,616,2005,1
8,642,2005,8
8,688,2005,1
8,724,2005,52
8,752,2005,150
8,756,2005,114
8,826,2005,1327
8,840,2005,4399
8,32,2006,14
8,36,2006,16
8,40,2006,172
8,56,2006,165
8,100,2006,10
8,124,2006,1327
8,203,2006,13
8,208,2006,44
8,246,2006,18
8,250,2006,1239
8,276,2006,963
8,300,2006,7
8,348,2006,5
8,352,2006,9
8,372,2006,153
8,380,2006,276
8,484,2006,4
8,528,2006,116
8,578,2006,52
8,616,2006,1
8,642,2006,8
8,724,2006,50
8,752,2006,155
8,756,2006,92
8,826,2006,1378
8,840,2006,7792
8,32,2007,13
8,36,2007,64
8,40,2007,168
8,56,2007,156
8,76,2007,1
8,100,2007,10
8,124,2007,2509
8,203,2007,12
8,208,2007,45
8,218,2007,6
8,246,2007,18
8,250,2007,1298
8,276,2007,1011
8,300,2007,4
8,348,2007,2
8,352,2007,9
8,372,2007,170
8,380,2007,234
8,484,2007,4
8,528,2007,69
8,554,2007,2
8,578,2007,53
8,616,2007,1
8,642,2007,4
8,705,2007,1
8,724,2007,36
8,752,2007,172
8,756,2007,74
8,826,2007,1445
8,840,2007,7749
8,32,2008,24
8,36,2008,49
8,40,2008,179
8,56,2008,181
8,76,2008,1
8,100,2008,10
8,124,2008,2496
8,203,2008,12
8,208,2008,51
8,218,2008,6
8,246,2008,19
8,250,2008,1374
8,276,2008,1076
8,300,2008,4
8,348,2008,3
8,352,2008,9
8,372,2008,175
8,380,2008,202
8,484,2008,4
8,528,2008,67
8,554,2008,3
8,578,2008,61
8,616,2008,1
8,642,2008,2
8,705,2008,1
8,724,2008,32
8,752,2008,175
8,756,2008,73
8,826,2008,1484
8,840,2008,7232
8,32,2009,25
8,36,2009,49
8,40,2009,178
8,56,2009,195
8,76,2009,1
8,100,2009,10
8,124,2009,2340
8,203,2009,12
8,208,2009,55
8,218,2009,6
8,246,2009,19
8,250,2009,1498
8,276,2009,2310
8,300,2009,2
8,348,2009,4
8,352,2009,12
8,372,2009,175
8,380,2009,205
8,484,2009,4
8,528,2009,51
8,554,2009,3
8,578,2009,62
8,616,2009,1
8,642,2009,2
8,705,2009,1
8,724,2009,24
8,752,2009,183
8,756,2009,71
8,826,2009,1492
8,840,2009,6721
8,32,2010,27
8,36,2010,46
8,40,2010,180
8,56,2010,216
8,100,2010,10
8,124,2010,2166
8,203,2010,12
8,208,2010,56
8,218,2010,6
8,246,2010,19
8,250,2010,1556
8,276,2010,2275
8,300,2010,2
8,348,2010,4
8,352,2010,12
8,372,2010,180
8,380,2010,177
8,484,2010,4
8,528,2010,36
8,554,2010,3
8,578,2010,57
8,616,2010,1
8,705,2010,1
8,724,2010,14
8,752,2010,166
8,756,2010,62
8,826,2010,1479
8,840,2010,6005
8,32,2011,28
8,36,2011,51
8,40,2011,169
8,56,2011,228
8,100,2011,9
8,124,2011,1900
8,203,2011,12
8,208,2011,52
8,218,2011,6
8,246,2011,12
8,250,2011,1666
8,276,2011,2207
8,300,2011,6
8,348,2011,4
8,352,2011,3
8,372,2011,168
8,380,2011,127
8,484,2011,4
8,528,2011,26
8,554,2011,1
8,578,2011,45
8,620,2011,1
8,705,2011,1
8,724,2011,16
8,752,2011,170
8,756,2011,49
8,826,2011,1388
8,840,2011,5202
8,32,2012,28
8,36,2012,58
8,40,2012,150
8,56,2012,318
8,100,2012,5
8,124,2012,1764
8,203,2012,17
8,208,2012,45
8,218,2012,6
8,246,2012,12
8,250,2012,1762
8,276,2012,2201
8,300,2012,13
8,348,2012,4
8,352,2012,3
8,372,2012,139
8,380,2012,145
8,484,2012,4
8,528,2012,18
8,554,2012,1
8,578,2012,38
8,620,2012,2
8,724,2012,16
8,752,2012,209
8,756,2012,49
8,826,2012,1139
8,840,2012,4422
8,32,2013,25
8,36,2013,66
8,40,2013,125
8,56,2013,398
8,100,2013,5
8,124,2013,1706
8,203,2013,17
8,208,2013,45
8,218,2013,6
8,246,2013,8
8,250,2013,1925
8,276,2013,296
8,300,2013,52
8,348,2013,3
8,352,2013,3
8,372,2013,70
8,380,2013,199
8,442,2013,65
8,484,2013,4
8,528,2013,17
8,554,2013,1
8,578,2013,43
8,620,2013,2
8,705,2013,1
8,724,2013,15
8,752,2013,252
8,756,2013,42
8,826,2013,1171
8,840,2013,3541
8,32,2014,25
8,36,2014,65
8,40,2014,125
8,56,2014,439
8,124,2014,1530
8,203,2014,11
8,208,2014,20
8,218,2014,6
8,250,2014,2522
8,276,2014,366
8,300,2014,139
8,372,2014,68
8,380,2014,256
8,442,2014,58
8,528,2014,15
8,578,2014,30
8,724,2014,15
8,752,2014,289
8,756,2014,47
8,826,2014,1346
8,840,2014,2751
12,24,2003,1
12,32,2003,55
12,36,2003,137
12,40,2003,7
12,56,2003,144
12,72,2003,1
12,76,2003,6
12,100,2003,21
12,116,2003,2
12,124,2003,2030
12,196,2003,4
12,203,2003,1
12,204,2003,7
12,208,2003,55
12,233,2003,2
12,246,2003,51
12,250,2003,726
12,276,2003,3727
12,300,2003,8
12,324,2003,3
12,348,2003,42
12,352,2003,2
12,360,2003,3
12,372,2003,75
12,380,2003,58
12,410,2003,2
12,422,2003,27
12,430,2003,1
12,438,2003,2
12,466,2003,1
12,470,2003,22
12,484,2003,1
12,504,2003,25
12,528,2003,366
12,554,2003,20
12,578,2003,106
12,586,2003,30
12,616,2003,8
12,620,2003,5
12,642,2003,2
12,686,2003,9
12,703,2003,1
12,710,2003,1
12,724,2003,537
12,752,2003,92
12,756,2003,254
12,760,2003,9
12,788,2003,39
12,804,2003,1
12,818,2003,4
12,826,2003,2372
12,840,2003,557
12,887,2003,5
12,24,2004,1
12,32,2004,57
12,36,2004,67
12,40,2004,7
12,56,2004,132
12,72,2004,1
12,76,2004,5
12,100,2004,23
12,116,2004,2
12,124,2004,1430
12,196,2004,4
12,203,2004,1
12,204,2004,7
12,208,2004,53
12,233,2004,2
12,246,2004,52
12,250,2004,865
12,276,2004,3339
12,300,2004,8
12,324,2004,2
12,348,2004,70
12,352,2004,2
12,360,2004,4
12,372,2004,83
12,380,2004,61
12,400,2004,1
12,410,2004,2
12,422,2004,21
12,430,2004,1
12,438,2004,2
12,458,2004,1
12,466,2004,1
12,470,2004,68
12,504,2004,7
12,528,2004,357
12,554,2004,21
12,578,2004,119
12,586,2004,31
12,616,2004,8
12,620,2004,5
12,642,2004,2
12,686,2004,9
12,703,2004,2
12,710,2004,1
12,724,2004,535
12,752,2004,74
12,756,2004,284
12,760,2004,7
12,788,2004,37
12,804,2004,1
12,818,2004,4
12,826,2004,2470
12,840,2004,319
12,887,2004,5
12,24,2005,1
12,32,2005,59
12,36,2005,24
12,40,2005,10
12,56,2005,80
12,70,2005,1
12,72,2005,1
12,76,2005,6
12,100,2005,21
12,116,2005,1
12,124,2005,763
12,196,2005,4
12,203,2005,1
12,204,2005,7
12,208,2005,52
12,233,2005,2
12,246,2005,52
12,250,2005,1044
12,276,2005,5385
12,300,2005,8
12,324,2005,1
12,348,2005,77
12,372,2005,90
12,380,2005,60
12,400,2005,1
12,410,2005,4
12,422,2005,11
12,430,2005,1
12,438,2005,2
12,458,2005,6
12,466,2005,1
12,470,2005,50
12,484,2005,1
12,504,2005,7
12,528,2005,344
12,554,2005,24
12,578,2005,122
12,586,2005,30
12,616,2005,6
12,620,2005,5
12,642,2005,2
12,643,2005,1
12,686,2005,9
12,703,2005,2
12,724,2005,457
12,752,2005,94
12,756,2005,297
12,760,2005,7
12,788,2005,37
12,804,2005,1
12,818,2005,4
12,826,2005,2516
12,840,2005,244
12,887,2005,5
12,24,2006,1
12,32,2006,58
12,36,2006,16
12,40,2006,11
12,56,2006,54
12,70,2006,1
12,72,2006,1
12,76,2006,5
12,100,2006,21
12,116,2006,1
12,124,2006,545
12,196,2006,4
12,203,2006,1
12,208,2006,44
12,233,2006,2
12,246,2006,54
12,250,2006,1166
12,276,2006,1249
12,300,2006,8
12,348,2006,76
12,372,2006,90
12,380,2006,56
12,410,2006,4
12,422,2006,5
12,430,2006,1
12,434,2006,6
12,438,2006,1
12,458,2006,6
12,466,2006,1
12,470,2006,20
12,484,2006,1
12,504,2006,7
12,528,2006,281
12,554,2006,20
12,578,2006,121
12,586,2006,30
12,616,2006,2
12,620,2006,4
12,642,2006,2
12,643,2006,1
12,686,2006,9
12,703,2006,1
12,724,2006,408
12,752,2006,93
12,756,2006,265
12,760,2006,7
12,788,2006,33
12,804,2006,1
12,818,2006,4
12,826,2006,2519
12,840,2006,1031
12,887,2006,5
12,8,2007,1
12,24,2007,1
12,32,2007,58
12,36,2007,194
12,40,2007,22
12,56,2007,54
12,70,2007,1
12,76,2007,5
12,100,2007,21
12,116,2007,1
12,124,2007,2806
12,196,2007,4
12,203,2007,1
12,204,2007,2
12,208,2007,23
12,233,2007,2
12,246,2007,34
12,250,2007,1240
12,276,2007,1299
12,300,2007,8
12,348,2007,70
12,372,2007,242
12,380,2007,55
12,400,2007,1
12,410,2007,4
12,422,2007,4
12,430,2007,1
12,434,2007,6
12,438,2007,1
12,458,2007,6
12,466,2007,1
12,470,2007,18
12,484,2007,1
12,504,2007,7
12,528,2007,193
12,554,2007,22
12,578,2007,104
12,586,2007,31
12,616,2007,2
12,620,2007,3
12,642,2007,2
12,643,2007,2
12,686,2007,9
12,703,2007,1
12,724,2007,386
12,752,2007,81
12,756,2007,242
12,760,2007,5
12,788,2007,29
12,804,2007,1
12,818,2007,4
12,826,2007,2443
12,840,2007,856
12,887,2007,5
12,8,2008,1
12,24,2008,1
12,32,2008,46
12,36,2008,84
12,40,2008,24
12,56,2008,41
12,70,2008,1
12,72,2008,1
12,76,2008,6
12,100,2008,21
12,116,2008,1
